average_stars,fans,number_of_friends,numberOfReviews,averageSentiment,averageStars,funnyVotes,usefulVotes,coolVotes
4.33,1,1,4,0.581145833333,5,0,2,1
5.0,0,0,2,0.19391025641,5,0,0,0
5.0,1,10,1,0.272,5,1,3,2
3.69,30,39,6,0.194509144237,4,0,1,1
3.0,0,0,1,0.227833333333,4,0,0,0
5.0,0,3,1,0.142694805195,5,1,2,1
3.93,3,13,1,0.191158008658,4,0,0,0
2.67,0,5,3,0.0888897907648,2,0,1,0
3.57,0,0,13,0.152871474086,3,0,0,0
2.33,1,0,2,0.160917919799,3,0,0,0
2.0,0,2,1,0.104166666667,2,0,0,0
3.67,0,0,3,0.278035775336,3,0,0,0
3.88,0,0,2,0.364933473389,4,0,0,0
3.33,0,1,2,0.162580128205,4,0,1,0
4.38,1,1,1,0.235714285714,4,0,0,0
3.48,1,2,1,0.42,4,0,0,0
2.75,0,0,3,0.101020138893,2,0,1,0
3.56,0,6,9,0.185845986449,4,0,0,0
4.0,0,10,2,0.546428571429,4,0,0,0
1.0,0,2,1,0.0325396825397,1,0,1,0
3.99,7,42,2,0.122756410256,4,0,0,0
1.5,2,3,2,0.13,1,0,0,0
5.0,0,0,1,0.31375,5,0,0,0
5.0,0,0,1,0.241666666667,5,0,0,0
4.22,0,1,1,0.289638605442,3,0,1,0
1.0,0,0,1,0.14068615846,1,3,4,3
3.33,0,2,3,0.223596563461,3,0,1,0
5.0,0,0,1,0.266666666667,5,0,0,0
3.86,0,0,5,0.11519047619,4,0,1,0
3.89,0,0,1,0.733333333333,5,0,1,0
4.29,1,0,1,0.636666666667,5,0,0,0
4.29,0,2,1,0.6,5,0,0,0
1.0,0,0,1,0.1,1,0,0,0
3.67,0,0,2,0.548115079365,5,0,0,0
3.0,0,0,2,0.223134920635,3,0,0,0
4.0,0,2,2,0.519486531987,4,0,0,0
3.82,1,11,1,0.0836458333333,1,1,3,1
3.8,1,13,2,0.250551374131,4,0,2,1
4.11,0,0,1,0.17626984127,4,0,0,0
3.33,0,0,2,0.0505150713484,2,0,0,0
2.5,0,0,1,0.312621212121,4,0,0,0
4.17,1,73,50,0.240353386042,4,0,1,0
4.06,1,6,11,0.270508551664,3,0,0,0
5.0,0,0,2,0.318484848485,5,0,0,0
4.18,0,0,8,0.298199500153,4,0,0,0
2.67,0,4,2,0.0584270640074,3,0,1,0
4.58,0,2,1,0.52,5,0,0,0
3.82,0,1,11,0.215362185268,3,0,0,0
5.0,0,0,1,0.214834449405,5,0,0,0
1.0,0,0,1,-0.241666666667,1,0,0,0
4.6,1,1,1,0.39375,5,3,4,3
5.0,0,0,2,0.43625,5,0,0,0
4.26,1,1,1,0.442857142857,4,0,0,0
4.0,0,0,1,-0.5,1,0,0,0
5.0,0,1,1,0.5,5,0,3,0
3.44,2,11,3,0.427281746032,4,0,0,0
3.33,0,0,1,-0.06328125,1,0,0,0
3.4,1,2,3,0.192058201058,3,0,0,0
3.17,0,31,2,0.000367647058824,2,0,0,0
4.23,0,14,10,0.304439194577,4,0,0,0
3.62,1,3,4,0.221130789656,3,0,0,0
2.8,0,1,1,0.426428571429,4,0,0,0
4.4,0,0,1,0.330535714286,4,0,0,0
1.5,0,0,2,-0.0107808857809,1,0,1,0
3.41,0,0,3,0.24231451419,5,0,0,0
4.0,0,4,6,0.207590063803,2,0,1,0
2.2,0,0,5,-0.131809585813,2,1,1,0
3.0,0,0,1,-0.152727272727,1,0,0,0
3.54,1,8,2,0.279779411765,3,0,0,0
4.45,3,0,2,0.307083333333,5,2,0,0
3.11,1,3,4,0.0383365144065,4,0,1,0
3.84,0,21,19,0.300811084047,3,0,0,0
3.61,0,11,7,0.26056980057,3,0,0,0
2.88,0,0,9,0.113787041813,2,0,1,0
4.0,0,2,8,0.304652732684,4,0,0,0
5.0,0,0,1,0.388888888889,5,0,1,0
5.0,0,0,1,0.4,5,0,1,1
4.29,0,0,1,0.183185284215,5,0,2,0
3.67,0,0,3,0.146380034656,4,0,0,0
2.2,0,0,1,0.166666666667,1,0,0,0
3.84,0,0,2,0.215595238095,4,0,1,0
2.0,0,0,1,0.55625,5,0,0,1
